receptor_name,ligand_name,scores
1mem,10152654_config_A_0D6_out1.pdbqt,-6.6
1mem,10201696_config_A_0D6_out1.pdbqt,-6.5
1mem,10313457_config_A_0D6_out1.pdbqt,-3.7
1mem,10345214_config_A_0D6_out1.pdbqt,-6.6
1mem,130956_config_A_0D6_out1.pdbqt,-5.7
1mem,13109_config_A_0D6_out1.pdbqt,-7.2
1mem,13388558_config_A_0D6_out1.pdbqt,-4.4
1mem,154257_config_A_0D6_out1.pdbqt,-7.3
1mem,16750192_config_A_0D6_out1.pdbqt,-7
1mem,176405_config_A_0D6_out1.pdbqt,-5.8
1mem,179337_config_A_0D6_out1.pdbqt,-7
1mem,2088_config_A_0D6_out1.pdbqt,-4.8
1mem,216416_config_A_0D6_out1.pdbqt,-6.5
1mem,223368_config_A_0D6_out1.pdbqt,-6.9
1mem,25022354_config_A_0D6_out1.pdbqt,-6.5
1mem,3001028_config_A_0D6_out1.pdbqt,-6.8
1mem,44137686_config_A_0D6_out1.pdbqt,-6.7
1mem,444008_config_A_0D6_out1.pdbqt,-7.3
1mem,5035_config_A_0D6_out1.pdbqt,-7.2
1mem,5280795_config_A_0D6_out1.pdbqt,-6
1mem,5280933_config_A_0D6_out1.pdbqt,-5
1mem,5282367_config_A_0D6_out1.pdbqt,-6.4
1mem,5283731_config_A_0D6_out1.pdbqt,-6.7
1mem,57398987_config_A_0D6_out1.pdbqt,-6.6
1mem,5757_config_A_0D6_out1.pdbqt,-7.3
1mem,5870_config_A_0D6_out1.pdbqt,-7.4
1mem,5878_config_A_0D6_out1.pdbqt,-7
1mem,5881_config_A_0D6_out1.pdbqt,-7.3
1mem,5991_config_A_0D6_out1.pdbqt,-7.6
1mem,60852_config_A_0D6_out1.pdbqt,-4.9
1mem,6230_config_A_0D6_out1.pdbqt,-6.7
1mem,6279_config_A_0D6_out1.pdbqt,-7.1
1mem,68873_config_A_0D6_out1.pdbqt,-8.4
1mem,6918141_config_A_0D6_out1.pdbqt,-6.8
1mem,6918182_config_A_0D6_out1.pdbqt,-5.5
1mem,6918446_config_A_0D6_out1.pdbqt,-5.8
1mem,6918602_config_A_0D6_out1.pdbqt,-8.1
1mem,9290_config_A_0D6_out1.pdbqt,-4.7
1mem,9677_config_A_0D6_out1.pdbqt,-5.8
1nav,10152654_config_A_IH5_out1.pdbqt,-9.2
1nav,10201696_config_A_IH5_out1.pdbqt,-6.9
1nav,10313457_config_A_IH5_out1.pdbqt,-4.1
1nav,10345214_config_A_IH5_out1.pdbqt,-9.7
1nav,130956_config_A_IH5_out1.pdbqt,-6.2
1nav,13109_config_A_IH5_out1.pdbqt,-6.7
1nav,13388558_config_A_IH5_out1.pdbqt,-4.4
1nav,154257_config_A_IH5_out1.pdbqt,-6.6
1nav,16750192_config_A_IH5_out1.pdbqt,-6.7
1nav,176405_config_A_IH5_out1.pdbqt,2.4
1nav,179337_config_A_IH5_out1.pdbqt,-5.8
1nav,2088_config_A_IH5_out1.pdbqt,-4.1
1nav,216416_config_A_IH5_out1.pdbqt,-4.3
1nav,223368_config_A_IH5_out1.pdbqt,-8.9
1nav,25022354_config_A_IH5_out1.pdbqt,-8.5
1nav,3001028_config_A_IH5_out1.pdbqt,-8.7
1nav,44137686_config_A_IH5_out1.pdbqt,-8.8
1nav,444008_config_A_IH5_out1.pdbqt,-4.7
1nav,5035_config_A_IH5_out1.pdbqt,-7.9
1nav,5280795_config_A_IH5_out1.pdbqt,-8.9
1nav,5280933_config_A_IH5_out1.pdbqt,-8.1
1nav,5282367_config_A_IH5_out1.pdbqt,-8.8
1nav,5283731_config_A_IH5_out1.pdbqt,-8.5
1nav,57398987_config_A_IH5_out1.pdbqt,-8.1
1nav,5757_config_A_IH5_out1.pdbqt,-7.7
1nav,5870_config_A_IH5_out1.pdbqt,-8.1
1nav,5878_config_A_IH5_out1.pdbqt,-7.4
1nav,5881_config_A_IH5_out1.pdbqt,-8.2
1nav,5991_config_A_IH5_out1.pdbqt,-7.5
1nav,60852_config_A_IH5_out1.pdbqt,-5.6
1nav,6230_config_A_IH5_out1.pdbqt,-7.6
1nav,6279_config_A_IH5_out1.pdbqt,0.6
1nav,68873_config_A_IH5_out1.pdbqt,-5.6
1nav,6918141_config_A_IH5_out1.pdbqt,-5.8
1nav,6918182_config_A_IH5_out1.pdbqt,-5.5
1nav,6918446_config_A_IH5_out1.pdbqt,-10
1nav,6918602_config_A_IH5_out1.pdbqt,-1.3
1nav,9290_config_A_IH5_out1.pdbqt,-5.4
1nav,9677_config_A_IH5_out1.pdbqt,-7.4
1nax,10152654_config_A_IH5_out1.pdbqt,-3.4
1nax,10201696_config_A_IH5_out1.pdbqt,-4.9
1nax,10313457_config_A_IH5_out1.pdbqt,-4.3
1nax,10345214_config_A_IH5_out1.pdbqt,-7.6
1nax,130956_config_A_IH5_out1.pdbqt,-7
1nax,13109_config_A_IH5_out1.pdbqt,-9.1
1nax,13388558_config_A_IH5_out1.pdbqt,-5
1nax,154257_config_A_IH5_out1.pdbqt,-4.6
1nax,16750192_config_A_IH5_out1.pdbqt,-7.2
1nax,176405_config_A_IH5_out1.pdbqt,0.5
1nax,179337_config_A_IH5_out1.pdbqt,-4.2
1nax,2088_config_A_IH5_out1.pdbqt,-4.7
1nax,216416_config_A_IH5_out1.pdbqt,-5.5
1nax,223368_config_A_IH5_out1.pdbqt,-9.7
1nax,25022354_config_A_IH5_out1.pdbqt,-8.7
1nax,3001028_config_A_IH5_out1.pdbqt,-10.2
1nax,44137686_config_A_IH5_out1.pdbqt,-9.1
1nax,444008_config_A_IH5_out1.pdbqt,-7.6
1nax,5035_config_A_IH5_out1.pdbqt,-5.8
1nax,5280795_config_A_IH5_out1.pdbqt,-7.4
1nax,5280933_config_A_IH5_out1.pdbqt,-8.3
1nax,5282367_config_A_IH5_out1.pdbqt,-5.9
1nax,5283731_config_A_IH5_out1.pdbqt,-8.1
1nax,57398987_config_A_IH5_out1.pdbqt,-8.5
1nax,5757_config_A_IH5_out1.pdbqt,-9.2
1nax,5870_config_A_IH5_out1.pdbqt,-9.5
1nax,5878_config_A_IH5_out1.pdbqt,-8.2
1nax,5881_config_A_IH5_out1.pdbqt,-9.4
1nax,5991_config_A_IH5_out1.pdbqt,-9.3
1nax,60852_config_A_IH5_out1.pdbqt,-6
1nax,6230_config_A_IH5_out1.pdbqt,-8.4
1nax,6279_config_A_IH5_out1.pdbqt,-3.8
1nax,68873_config_A_IH5_out1.pdbqt,-7.2
1nax,6918141_config_A_IH5_out1.pdbqt,-3.6
1nax,6918182_config_A_IH5_out1.pdbqt,-5.9
1nax,6918446_config_A_IH5_out1.pdbqt,-9.8
1nax,6918602_config_A_IH5_out1.pdbqt,2.7
1nax,9290_config_A_IH5_out1.pdbqt,-5.2
1nax,9677_config_A_IH5_out1.pdbqt,-5.2
1r0e,10152654_config_B_DFN_out1.pdbqt,-8.1
1r0e,10201696_config_A_DFN_out1.pdbqt,-7.8
1r0e,10313457_config_B_DFN_out1.pdbqt,-3.7
1r0e,10345214_config_A_DFN_out1.pdbqt,-8.8
1r0e,130956_config_B_DFN_out1.pdbqt,-6.6
1r0e,13109_config_A_DFN_out1.pdbqt,-9.6
1r0e,13388558_config_B_DFN_out1.pdbqt,-3.8
1r0e,154257_config_A_DFN_out1.pdbqt,-9.6
1r0e,16750192_config_B_DFN_out1.pdbqt,-9.7
1r0e,176405_config_B_DFN_out1.pdbqt,-7.2
1r0e,179337_config_A_DFN_out1.pdbqt,-9.4
1r0e,2088_config_A_DFN_out1.pdbqt,-4.6
1r0e,216416_config_A_DFN_out1.pdbqt,-9
1r0e,223368_config_A_DFN_out1.pdbqt,-9.9
1r0e,25022354_config_A_DFN_out1.pdbqt,-8.5
1r0e,3001028_config_A_DFN_out1.pdbqt,-10.1
1r0e,44137686_config_A_DFN_out1.pdbqt,-8.6
1r0e,444008_config_A_DFN_out1.pdbqt,-9.3
1r0e,5035_config_B_DFN_out1.pdbqt,-9.3
1r0e,5280795_config_B_DFN_out1.pdbqt,-8.7
1r0e,5280933_config_B_DFN_out1.pdbqt,-6.9
1r0e,5282367_config_A_DFN_out1.pdbqt,-9.3
1r0e,5283731_config_A_DFN_out1.pdbqt,-8.7
1r0e,57398987_config_A_DFN_out1.pdbqt,-7.6
1r0e,5757_config_B_DFN_out1.pdbqt,-9.7
1r0e,5870_config_B_DFN_out1.pdbqt,-9.9
1r0e,5878_config_B_DFN_out1.pdbqt,-9.9
1r0e,5881_config_B_DFN_out1.pdbqt,-9.9
1r0e,5991_config_B_DFN_out1.pdbqt,-9.6
1r0e,60852_config_A_DFN_out1.pdbqt,-5.4
1r0e,6230_config_B_DFN_out1.pdbqt,-10.4
1r0e,6279_config_A_DFN_out1.pdbqt,-10.4
1r0e,68873_config_A_DFN_out1.pdbqt,-11.3
1r0e,6918141_config_B_DFN_out1.pdbqt,-7.8
1r0e,6918182_config_B_DFN_out1.pdbqt,-6.3
1r0e,6918446_config_B_DFN_out1.pdbqt,-8.3
1r0e,6918602_config_A_DFN_out1.pdbqt,-9.2
1r0e,9290_config_B_DFN_out1.pdbqt,-4.5
1r0e,9677_config_B_DFN_out1.pdbqt,-8.9
1s0z,10152654_config_A_EB1_out1.pdbqt,-10.2
1s0z,10201696_config_A_EB1_out1.pdbqt,-9.5
1s0z,10313457_config_A_EB1_out1.pdbqt,-4.1
1s0z,10345214_config_A_EB1_out1.pdbqt,-10
1s0z,130956_config_A_EB1_out1.pdbqt,-6.6
1s0z,13109_config_A_EB1_out1.pdbqt,-11
1s0z,13388558_config_A_EB1_out1.pdbqt,-4.3
1s0z,154257_config_A_EB1_out1.pdbqt,-10.5
1s0z,16750192_config_A_EB1_out1.pdbqt,-9.6
1s0z,176405_config_A_EB1_out1.pdbqt,-5.4
1s0z,179337_config_A_EB1_out1.pdbqt,-9.6
1s0z,2088_config_A_EB1_out1.pdbqt,-5.1
1s0z,216416_config_A_EB1_out1.pdbqt,-8.4
1s0z,223368_config_A_EB1_out1.pdbqt,-10.2
1s0z,25022354_config_A_EB1_out1.pdbqt,-8.8
1s0z,3001028_config_A_EB1_out1.pdbqt,-10.4
1s0z,44137686_config_A_EB1_out1.pdbqt,-8.9
1s0z,444008_config_A_EB1_out1.pdbqt,-10.5
1s0z,5035_config_A_EB1_out1.pdbqt,-10.2
1s0z,5280795_config_A_EB1_out1.pdbqt,-11.2
1s0z,5280933_config_A_EB1_out1.pdbqt,-7.5
1s0z,5282367_config_A_EB1_out1.pdbqt,-11.7
1s0z,5283731_config_A_EB1_out1.pdbqt,-11.5
1s0z,57398987_config_A_EB1_out1.pdbqt,-6.6
1s0z,5757_config_A_EB1_out1.pdbqt,-10
1s0z,5870_config_A_EB1_out1.pdbqt,-10.3
1s0z,5878_config_A_EB1_out1.pdbqt,-9.9
1s0z,5881_config_A_EB1_out1.pdbqt,-9.7
1s0z,5991_config_A_EB1_out1.pdbqt,-10.9
1s0z,60852_config_A_EB1_out1.pdbqt,-5.7
1s0z,6230_config_A_EB1_out1.pdbqt,-9.8
1s0z,6279_config_A_EB1_out1.pdbqt,-8.5
1s0z,68873_config_A_EB1_out1.pdbqt,-10.6
1s0z,6918141_config_A_EB1_out1.pdbqt,-9.8
1s0z,6918182_config_A_EB1_out1.pdbqt,-5.9
1s0z,6918446_config_A_EB1_out1.pdbqt,-9.9
1s0z,6918602_config_A_EB1_out1.pdbqt,-11.1
1s0z,9290_config_A_EB1_out1.pdbqt,-5.3
1s0z,9677_config_A_EB1_out1.pdbqt,-10.6
1vsn,10152654_config_A_NFT_out1.pdbqt,-7.5
1vsn,10201696_config_A_NFT_out1.pdbqt,-6.4
1vsn,10313457_config_A_NFT_out1.pdbqt,-3.7
1vsn,10345214_config_A_NFT_out1.pdbqt,-5.5
1vsn,130956_config_A_NFT_out1.pdbqt,-5.6
1vsn,13109_config_A_NFT_out1.pdbqt,-6
1vsn,13388558_config_A_NFT_out1.pdbqt,-4.4
1vsn,154257_config_A_NFT_out1.pdbqt,-7.5
1vsn,16750192_config_A_NFT_out1.pdbqt,-6.8
1vsn,176405_config_A_NFT_out1.pdbqt,-5
1vsn,179337_config_A_NFT_out1.pdbqt,-7.3
1vsn,2088_config_A_NFT_out1.pdbqt,-5.1
1vsn,216416_config_A_NFT_out1.pdbqt,-7
1vsn,223368_config_A_NFT_out1.pdbqt,-5.9
1vsn,25022354_config_A_NFT_out1.pdbqt,-6.2
1vsn,3001028_config_A_NFT_out1.pdbqt,-6.2
1vsn,44137686_config_A_NFT_out1.pdbqt,-6.1
1vsn,444008_config_A_NFT_out1.pdbqt,-6.1
1vsn,5035_config_A_NFT_out1.pdbqt,-7.4
1vsn,5280795_config_A_NFT_out1.pdbqt,-5.9
1vsn,5280933_config_A_NFT_out1.pdbqt,-4.6
1vsn,5282367_config_A_NFT_out1.pdbqt,-6.5
1vsn,5283731_config_A_NFT_out1.pdbqt,-6.2
1vsn,57398987_config_A_NFT_out1.pdbqt,-5.7
1vsn,5757_config_A_NFT_out1.pdbqt,-5.8
1vsn,5870_config_A_NFT_out1.pdbqt,-6
1vsn,5878_config_A_NFT_out1.pdbqt,-5.8
1vsn,5881_config_A_NFT_out1.pdbqt,-5.4
1vsn,5991_config_A_NFT_out1.pdbqt,-6
1vsn,60852_config_A_NFT_out1.pdbqt,-5
1vsn,6230_config_A_NFT_out1.pdbqt,-6.3
1vsn,6279_config_A_NFT_out1.pdbqt,-5.6
1vsn,68873_config_A_NFT_out1.pdbqt,-6.3
1vsn,6918141_config_A_NFT_out1.pdbqt,-5.8
1vsn,6918182_config_A_NFT_out1.pdbqt,-5.1
1vsn,6918446_config_A_NFT_out1.pdbqt,-6.6
1vsn,6918602_config_A_NFT_out1.pdbqt,-7.7
1vsn,9290_config_A_NFT_out1.pdbqt,-5.2
1vsn,9677_config_A_NFT_out1.pdbqt,-5.5
1yv5,10152654_config_A_RIS_out1.pdbqt,3.6
1yv5,10201696_config_A_RIS_out1.pdbqt,-1.7
1yv5,10313457_config_A_RIS_out1.pdbqt,-4.1
1yv5,10345214_config_A_RIS_out1.pdbqt,-7.4
1yv5,130956_config_A_RIS_out1.pdbqt,-7.4
1yv5,13109_config_A_RIS_out1.pdbqt,-9
1yv5,13388558_config_A_RIS_out1.pdbqt,-4.9
1yv5,154257_config_A_RIS_out1.pdbqt,-4.2
1yv5,16750192_config_A_RIS_out1.pdbqt,-8.2
1yv5,176405_config_A_RIS_out1.pdbqt,-4.1
1yv5,179337_config_A_RIS_out1.pdbqt,-4.2
1yv5,2088_config_A_RIS_out1.pdbqt,-5.9
1yv5,216416_config_A_RIS_out1.pdbqt,-8.4
1yv5,223368_config_A_RIS_out1.pdbqt,-8
1yv5,25022354_config_A_RIS_out1.pdbqt,-7.3
1yv5,3001028_config_A_RIS_out1.pdbqt,-5.7
1yv5,44137686_config_A_RIS_out1.pdbqt,-7.7
1yv5,444008_config_A_RIS_out1.pdbqt,-5.3
1yv5,5035_config_A_RIS_out1.pdbqt,-5
1yv5,5280795_config_A_RIS_out1.pdbqt,-5.2
1yv5,5280933_config_A_RIS_out1.pdbqt,-5.8
1yv5,5282367_config_A_RIS_out1.pdbqt,-6
1yv5,5283731_config_A_RIS_out1.pdbqt,-5.6
1yv5,57398987_config_A_RIS_out1.pdbqt,-7.1
1yv5,5757_config_A_RIS_out1.pdbqt,-8.2
1yv5,5870_config_A_RIS_out1.pdbqt,-7.3
1yv5,5878_config_A_RIS_out1.pdbqt,-7.4
1yv5,5881_config_A_RIS_out1.pdbqt,-6.9
1yv5,5991_config_A_RIS_out1.pdbqt,-7.7
1yv5,60852_config_A_RIS_out1.pdbqt,-6.6
1yv5,6230_config_A_RIS_out1.pdbqt,-7.6
1yv5,6279_config_A_RIS_out1.pdbqt,-5
1yv5,68873_config_A_RIS_out1.pdbqt,0.5
1yv5,6918141_config_A_RIS_out1.pdbqt,-1.8
1yv5,6918182_config_A_RIS_out1.pdbqt,-6.8
1yv5,6918446_config_A_RIS_out1.pdbqt,-6.9
1yv5,6918602_config_A_RIS_out1.pdbqt,-1.3
1yv5,9290_config_A_RIS_out1.pdbqt,-5.9
1yv5,9677_config_A_RIS_out1.pdbqt,-4.6
1zw5,10152654_config_A_IPE_out1.pdbqt,-0.7
1zw5,10201696_config_A_IPE_out1.pdbqt,-4.9
1zw5,10313457_config_A_ZOL_out1.pdbqt,-4.2
1zw5,10345214_config_A_IPE_out1.pdbqt,-7.9
1zw5,130956_config_A_ZOL_out1.pdbqt,-7.8
1zw5,13109_config_A_ZOL_out1.pdbqt,-9.1
1zw5,13388558_config_A_ZOL_out1.pdbqt,-5.2
1zw5,154257_config_A_ZOL_out1.pdbqt,-5.2
1zw5,16750192_config_A_ZOL_out1.pdbqt,-8.5
1zw5,176405_config_A_ZOL_out1.pdbqt,-5.1
1zw5,179337_config_A_ZOL_out1.pdbqt,-5.2
1zw5,2088_config_A_ZOL_out1.pdbqt,-5.8
1zw5,216416_config_A_ZOL_out1.pdbqt,-8.6
1zw5,223368_config_A_ZOL_out1.pdbqt,-7.7
1zw5,25022354_config_A_ZOL_out1.pdbqt,-7.6
1zw5,3001028_config_A_ZOL_out1.pdbqt,-6.7
1zw5,44137686_config_A_ZOL_out1.pdbqt,-7.7
1zw5,444008_config_A_ZOL_out1.pdbqt,-7.1
1zw5,5035_config_A_ZOL_out1.pdbqt,-6
1zw5,5280795_config_A_ZOL_out1.pdbqt,-6.1
1zw5,5280933_config_A_ZOL_out1.pdbqt,-5.9
1zw5,5282367_config_A_IPE_out1.pdbqt,-6.8
1zw5,5283731_config_A_IPE_out1.pdbqt,-5.8
1zw5,57398987_config_A_ZOL_out1.pdbqt,-7.5
1zw5,5757_config_A_ZOL_out1.pdbqt,-8.2
1zw5,5870_config_A_ZOL_out1.pdbqt,-8
1zw5,5878_config_A_ZOL_out1.pdbqt,-8.4
1zw5,5881_config_A_ZOL_out1.pdbqt,-7.1
1zw5,5991_config_A_ZOL_out1.pdbqt,-8.6
1zw5,60852_config_A_ZOL_out1.pdbqt,-6.5
1zw5,6230_config_A_ZOL_out1.pdbqt,-8
1zw5,6279_config_A_ZOL_out1.pdbqt,-6.6
1zw5,68873_config_A_IPE_out1.pdbqt,-4.9
1zw5,6918141_config_A_IPE_out1.pdbqt,-4.6
1zw5,6918182_config_A_ZOL_out1.pdbqt,-7.1
1zw5,6918446_config_A_ZOL_out1.pdbqt,-8.1
1zw5,6918602_config_A_ZOL_out1.pdbqt,-4.4
1zw5,9290_config_A_ZOL_out1.pdbqt,-5.9
1zw5,9677_config_A_ZOL_out1.pdbqt,-6.7
2afm,10313457_config_A_SO4_out1.pdbqt,-3.1
2afm,10345214_config_B_SO4_out1.pdbqt,26.5
2afm,130956_config_B_SO4_out1.pdbqt,-1.2
2afm,13388558_config_A_SO4_out1.pdbqt,-3.4
2afm,2088_config_A_SO4_out1.pdbqt,-3.1
2afm,25022354_config_A_SO4_out1.pdbqt,17.1
2afm,44137686_config_B_SO4_out1.pdbqt,15.2
2afm,5280933_config_B_SO4_out1.pdbqt,-2
2afm,5282367_config_B_SO4_out1.pdbqt,50.6
2afm,60852_config_B_SO4_out1.pdbqt,-0.8
2afm,6918182_config_B_SO4_out1.pdbqt,1.1
2afm,6918446_config_B_SO4_out1.pdbqt,35
2afm,9290_config_A_SO4_out1.pdbqt,-3.4
2afo,10313457_config_A_SO4_out1.pdbqt,-3.1
2afo,10345214_config_B_SO4_out1.pdbqt,34.1
2afo,130956_config_B_SO4_out1.pdbqt,-1.3
2afo,13388558_config_A_SO4_out1.pdbqt,-3.7
2afo,2088_config_B_SO4_out1.pdbqt,-3.5
2afo,25022354_config_B_SO4_out1.pdbqt,22.1
2afo,44137686_config_B_SO4_out1.pdbqt,32.7
2afo,5280933_config_B_SO4_out1.pdbqt,-1.6
2afo,5282367_config_B_SO4_out1.pdbqt,30.4
2afo,60852_config_B_SO4_out1.pdbqt,-1.5
2afo,6918182_config_B_SO4_out1.pdbqt,1.5
2afo,6918446_config_B_SO4_out1.pdbqt,23.5
2afo,9290_config_A_SO4_out1.pdbqt,-3.2
2afs,10313457_config_A_SO4_out1.pdbqt,-3.1
2afs,10345214_config_B_SO4_out1.pdbqt,26.9
2afs,130956_config_B_SO4_out1.pdbqt,-0.2
2afs,13388558_config_A_SO4_out1.pdbqt,-3.7
2afs,2088_config_B_SO4_out1.pdbqt,-3.3
2afs,25022354_config_B_SO4_out1.pdbqt,17.4
2afs,44137686_config_B_SO4_out1.pdbqt,10.9
2afs,5280933_config_B_SO4_out1.pdbqt,-0.9
2afs,5282367_config_B_SO4_out1.pdbqt,62.3
2afs,60852_config_B_SO4_out1.pdbqt,-1.3
2afs,6918182_config_B_SO4_out1.pdbqt,7.6
2afs,6918446_config_B_SO4_out1.pdbqt,26.8
2afs,9290_config_A_SO4_out1.pdbqt,-3.8
2afu,10152654_config_B_BGT_out1.pdbqt,-5.4
2afu,10201696_config_B_BGT_out1.pdbqt,-4.3
2afu,10313457_config_B_BGT_out1.pdbqt,-4.7
2afu,10345214_config_B_BGT_out1.pdbqt,-7.3
2afu,130956_config_A_BGT_out1.pdbqt,-6.5
2afu,13109_config_A_BGT_out1.pdbqt,-8.2
2afu,13388558_config_B_BGT_out1.pdbqt,-4.9
2afu,154257_config_B_BGT_out1.pdbqt,-8
2afu,16750192_config_B_BGT_out1.pdbqt,-7.7
2afu,176405_config_B_BGT_out1.pdbqt,-5.6
2afu,179337_config_B_BGT_out1.pdbqt,-7.4
2afu,2088_config_A_BGT_out1.pdbqt,-6.1
2afu,216416_config_B_BGT_out1.pdbqt,-9.1
2afu,223368_config_B_BGT_out1.pdbqt,-9.7
2afu,25022354_config_B_BGT_out1.pdbqt,-7.5
2afu,3001028_config_B_BGT_out1.pdbqt,-8.3
2afu,44137686_config_B_BGT_out1.pdbqt,-7.7
2afu,444008_config_A_BGT_out1.pdbqt,-8
2afu,5035_config_B_BGT_out1.pdbqt,-8.2
2afu,5280795_config_B_BGT_out1.pdbqt,-8.4
2afu,5280933_config_A_BGT_out1.pdbqt,-6.3
2afu,5282367_config_B_BGT_out1.pdbqt,-8.1
2afu,5283731_config_B_BGT_out1.pdbqt,-7.6
2afu,57398987_config_B_BGT_out1.pdbqt,-7
2afu,5757_config_B_BGT_out1.pdbqt,-8.6
2afu,5870_config_B_BGT_out1.pdbqt,-8.9
2afu,5878_config_B_BGT_out1.pdbqt,-7.2
2afu,5881_config_B_BGT_out1.pdbqt,-7.7
2afu,5991_config_B_BGT_out1.pdbqt,-8.9
